n_stmts,llvm_ms,tcg_before_ms,tcg_after_ms,ratio_before,ratio_after
400,29.3,102.8,73.4,3.509,2.505
1600,53.2,701.2,212.9,13.180,4.002
3200,99.9,2417.9,428.6,24.203,4.290
